CDB, Banco Arbi S/A,08/10/2020,"1,19",CDI,"0,15","12000,00",,no vcto.
CDB, Banco Fibra,17/10/2019,"1,14",CDI,"0,15","10000,00",brB-,no vcto.
CDB, Banco Fibra,12/04/2020,"1,16",CDI,"0,15","10000,00",brB-,no vcto.
CDB, Banco Fibra,08/10/2020,"1,175",CDI,"0,15","20000,00",brB-,no vcto.
CDB, Banco Fibra,03/10/2021,"1,18",CDI,"0,15","3000,00",brB-,no vcto.
CDB, Banco Fibra,28/09/2022,"1,185",CDI,"0,15","10000,00",brB-,no vcto
CDB, Banco Original,22/04/2018,"1,02",CDI,"0,2","50000,00",BBB+,no vcto.
CDB, Banco Original,17/10/2019,"1,155",CDI,"0,15","8000,00",BBB+,no vcto.
CDB, Banco Original,08/10/2020,"1,175",CDI,"0,15","10000,00",BBB+,no vcto.
CDB,Banco ABN AMRO,21/10/2018,"0,96",CDI,"0,175","30000,00",BB-,no vcto.
CDB,Banco ABN AMRO,17/10/2019,"0,98",CDI,"0,15","30000,00",BB-,no vcto.
CDB,Banco Agiplan,21/10/2018,"1,11",CDI,"0,175","10000,00",,no vcto.
CDB,Banco Agiplan,13/10/2019,"0,94",CDI,"0,225","10000,00",,liq. em D+1
CDB,Banco Agiplan,17/10/2019,"1,16",CDI,"0,15","15000,00",,no vcto.
CDB,Banco Agiplan,08/10/2020,"1,185",CDI,"0,15","15000,00",,no vcto.
CDB,Banco BMG,21/01/2018,"1,005",CDI,"0,225","35000,00",A,no vcto.
CDB,Banco BMG,21/10/2018,"1,05",CDI,"0,175","30000,00",A,no vcto.
CDB,Banco BMG,21/10/2018,"0,0746",prefixado,"0,175","10000,00",A,no vcto.
CDB,Banco BMG,22/10/2018,"0,0305",IPCA,"0,175","10000,00",A,no vcto.
CDB,Banco BMG,17/10/2019,"1,09",CDI,"0,15","12000,00",A,no vcto.
CDB,Banco BMG,22/10/2019,"0,0405",IPCA,"0,15","10000,00",A,no vcto.
CDB,Banco BMG,22/10/2020,"0,0515",IPCA,"0,15","10000,00",A,no vcto.
CDB,Banco BMG,03/10/2021,"1,16",CDI,"0,15","3000,00",A,no vcto.
CDB,Banco BMG,28/09/2022,"1,165",CDI,"0,15","5000,00",A,no vcto.
CDB,Banco Caixa Geral,21/01/2018,"0,985",CDI,"0,225","20000,00",A-,no vcto.
CDB,Banco Caixa Geral,21/10/2018,"1,03",CDI,"0,175","30000,00",A-,no vcto.
CDB,Banco Caixa Geral,17/10/2019,"1,06",CDI,"0,15","30000,00",A-,no vcto.
CDB,Banco Caixa Geral,17/10/2019,"0,89",CDI,"0,225","30000,00",A-,liq. em D+1
CDB,Banco Caixa Geral,08/10/2020,"1,06",CDI,"0,15","30000,00",A-,no vcto.
CDB,Banco Daycoval,21/01/2018,"0,965",CDI,"0,225","20000,00",AA,no vcto.
CDB,Banco Indusval,21/01/2018,"0,98",CDI,"0,225","17000,00",,no vcto.
CDB,Banco Indusval,21/10/2018,"1,08",CDI,"0,175","5000,00",,no vcto.
CDB,Banco Indusval,17/04/2019,"1,135",CDI,"0,175","20000,00",,no vcto.
CDB,Banco Indusval,17/10/2019,"0,91",CDI,"0,225","30000,00",,liq. em D+1
CDB,Banco Indusval,17/10/2019,"1,16",CDI,"0,15","20000,00",,no vcto.
CDB,Banco Indusval,12/04/2020,"1,16",CDI,"0,15","10000,00",,no vcto.
CDB,Banco Indusval,08/10/2020,"1,17",CDI,"0,15","5000,00",,no vcto.
CDB,Banco Indusval,28/09/2022,"1,18",CDI,"0,15","10000,00",,no vcto.
CDB,Banco Maxima,22/04/2018,"1,08",CDI,"0,2","4000,00",,no vcto.
CDB,Banco Maxima,22/04/2018,"1,02",CDI,"0,2","2000,00",,no vcto.
CDB,Banco Maxima,21/10/2018,"1,05",CDI,"0,175","2000,00",,no vcto.
CDB,Banco Maxima,21/10/2018,"1,11",CDI,"0,175","4000,00",,no vcto.
CDB,Banco Maxima,17/04/2019,"1,12",CDI,"0,175","4000,00",,no vcto.
CDB,Banco Maxima,17/04/2019,"1,07",CDI,"0,175","2000,00",,no vcto.
CDB,Banco Maxima,17/10/2019,"1,17",CDI,"0,15","4000,00",,no vcto.
CDB,Banco Maxima,08/10/2020,"1,18",CDI,"0,15","4000,00",,no vcto.
CDB,Banco Maxima,08/10/2020,"1,14",CDI,"0,15","2000,00",,no vcto.
CDB,Banco Maxima,03/10/2021,"1,185",CDI,"0,15","4000,00",,no vcto.
CDB,Banco Maxima,28/09/2022,"1,2",CDI,"0,15","4000,00",,no vcto.
CDB,Banco Mercantil Do Brasil,08/10/2020,"1,14",CDI,"0,15","10000,00",brB,no vcto.
CDB,Banco Mercantil Do Brasil,03/10/2021,"1,145",CDI,"0,15","5000,00",brB,no vcto.
CDB,Banco Pan,21/10/2018,"1,09",CDI,"0,175","30000,00",A+,no vcto.
CDB,Banco Pan,15/04/2020,"1,16",CDI,"0,15","25000,00",A+,no vcto
CDB,Banco Pecunia,21/10/2018,"1,11",CDI,"0,175","5000,00",,no vcto.
CDB,Banco Pecunia,17/10/2019,"1,15",CDI,"0,15","5000,00",,no vcto.
CDB,Banco Pine,22/04/2018,"1,01",CDI,"0,2","20000,00",BBB+,no vcto.
CDB,Banco Pine,21/10/2018,"1,065",CDI,"0,175","5000,00",BBB+,no vcto.
CDB,Banco Pine,17/10/2019,"1,14",CDI,"0,15","7000,00",BBB+,no vcto.
CDB,Banco Pine,08/10/2020,"1,145",CDI,"0,15","5000,00",BBB+,no vcto.
CDB,Banco Renner,17/10/2019,"0,97",CDI,"0,225","50000,00",,liq. em D+1
CDB,Banco Topazio,21/10/2018,"1,095",CDI,"0,175","30000,00",,no vcto.
CDB,Banco Topazio,17/10/2019,"1,155",CDI,"0,15","20000,00",,no vcto.
CDB,BR Partners Banco de Investimentos S/A,21/01/2018,"0,985",CDI,"0,225","20000,00",BBB+,no vcto.
CDB,Haitong,21/10/2018,"1,025",CDI,"0,175","20000,00",brA+,no vcto.
CDB,Haitong,17/10/2019,"1,045",CDI,"0,15","5000,00",brA+,no vcto.
LCI,Banco Maxima,21/10/2018,"0,91",CDI,"0,0","4000,00",,no vcto.
LCI,Banco Maxima,17/10/2019,"0,92",CDI,"0,0","4000,00",,no vcto.
LCI,Banco Pine,21/10/2018,"0,92",CDI,"0,0","15000,00",A+,no vcto.
